,date,name,position,seniority,location,studio,client,project,team_name,engagement
16,2023-01-24,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.2
17,2023-01-25,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.37
18,2023-01-26,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.69
19,2023-01-27,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.63
20,2023-01-30,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.07
21,2023-01-31,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.32
22,2023-02-01,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.16
23,2023-02-02,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.6
24,2023-02-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.97
25,2023-02-07,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.82
26,2023-02-08,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.6
27,2023-02-09,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.72
28,2023-02-10,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.53
29,2023-02-13,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.49
30,2023-02-14,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.97
31,2023-02-15,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.93
32,2023-02-16,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.41
33,2023-02-17,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.9
34,2023-02-20,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.08
35,2023-02-21,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.46
36,2023-02-22,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.24
37,2023-02-23,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.48
38,2023-02-24,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.71
39,2023-02-27,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.58
40,2023-02-28,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.85
41,2023-03-01,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.98
42,2023-03-02,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.9
43,2023-03-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.52
44,2023-03-06,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.64
45,2023-03-07,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,0.07
46,2023-03-08,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,0.07
47,2023-03-09,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,0.07
48,2023-03-10,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,0.07
49,2023-03-13,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.02
50,2023-03-14,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.74
51,2023-03-15,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.31
52,2023-03-16,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.49
53,2023-03-17,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.36
54,2023-03-21,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.64
55,2023-03-22,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.13
56,2023-03-23,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.44
57,2023-03-24,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.87
58,2023-03-27,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.71
59,2023-03-28,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.54
60,2023-03-29,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.06
61,2023-03-30,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.2
62,2023-03-31,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.78
63,2023-04-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.25
64,2023-04-04,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.15
65,2023-04-05,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.17
66,2023-04-06,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.84
67,2023-04-10,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.62
68,2023-04-11,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.3
69,2023-04-12,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.27
70,2023-04-13,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.97
71,2023-04-14,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.46
72,2023-04-17,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.64
73,2023-04-18,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.2
74,2023-04-19,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.2
75,2023-04-20,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.12
76,2023-04-21,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.98
77,2023-04-24,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.13
78,2023-04-25,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.47
79,2023-04-26,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.05
80,2023-04-27,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.08
81,2023-04-28,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.24
82,2023-04-29,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.08
83,2023-05-02,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.09
84,2023-05-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.19
85,2023-05-04,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,0.07
86,2023-05-05,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,0.07
87,2023-05-06,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,0.07
88,2023-05-08,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.28
89,2023-05-09,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.64
90,2023-05-10,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.25
91,2023-05-11,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.83
92,2023-05-12,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.4
93,2023-05-13,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.11
94,2023-05-15,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.42
95,2023-05-16,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.58
96,2023-05-17,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.34
97,2023-05-18,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.82
98,2023-05-19,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.38
99,2023-05-20,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.37
100,2023-05-22,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.87
101,2023-05-23,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.62
102,2023-05-24,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.88
103,2023-05-25,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.89
104,2023-05-26,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.35
105,2023-05-27,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.06
106,2023-05-29,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.15
107,2023-05-30,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.3
108,2023-05-31,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.05
109,2023-06-01,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.0
110,2023-06-02,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.52
111,2023-06-03,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.25
112,2023-06-05,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.94
113,2023-06-06,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.8
114,2023-06-07,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,2.65
115,2023-06-08,Natalia Ramírez,Software Developer,Jr,CO/ANT/MED,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,3.14
116,2023-01-02,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.24
117,2023-01-03,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.43
118,2023-01-04,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.5
119,2023-01-05,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.43
120,2023-01-06,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.48
121,2023-01-09,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.07
122,2023-01-10,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.08
123,2023-01-11,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.16
124,2023-01-12,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.34
125,2023-01-13,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.07
126,2023-01-16,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.25
127,2023-01-17,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.07
128,2023-01-18,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.38
129,2023-01-19,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.2
130,2023-01-20,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.43
131,2023-01-23,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.26
132,2023-01-24,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.13
133,2023-01-25,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.48
134,2023-01-26,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.11
135,2023-01-27,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.35
136,2023-01-30,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.29
137,2023-01-31,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.27
138,2023-02-01,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.24
139,2023-02-02,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.27
140,2023-02-03,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.36
141,2023-02-07,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.15
142,2023-02-08,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.29
143,2023-02-09,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.11
144,2023-02-10,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.37
145,2023-02-13,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.53
146,2023-02-14,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.32
147,2023-02-15,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.23
148,2023-02-16,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.29
149,2023-02-17,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.41
150,2023-02-20,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.31
151,2023-02-21,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.37
152,2023-02-22,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.05
153,2023-02-23,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.44
154,2023-02-24,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.53
155,2023-02-27,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.37
156,2023-02-28,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.39
157,2023-03-01,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.5
158,2023-03-02,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.46
159,2023-03-03,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.48
160,2023-03-06,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.38
161,2023-03-07,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.32
162,2023-03-08,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.5
163,2023-03-09,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.37
164,2023-03-10,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.33
165,2023-03-13,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.16
166,2023-03-14,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.44
167,2023-03-15,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.04
168,2023-03-16,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.18
169,2023-03-17,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.1
170,2023-03-21,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.33
171,2023-03-22,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.22
172,2023-03-23,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.42
173,2023-03-24,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.37
174,2023-03-27,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.06
175,2023-03-28,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.28
176,2023-03-29,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.38
177,2023-03-30,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.33
178,2023-03-31,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.07
179,2023-04-03,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.18
180,2023-04-04,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.16
181,2023-04-05,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.04
182,2023-04-06,Mariana Bravo,Software Developer,Ssr,MX/CDMX/CDMX,Engineering,GreenWave Innovations,Atlas Initiative,Breaking Badger,4.44
